x0,x1,labels
-5.87,4.24,0
-9.53,0.43,0
-7.08,0.72,0
-5.28,-0.17,0
-7.99,10.58,0
-12.96,7.12,0
-8.27,4.82,0
-7.7,9.31,0
-10.79,2.13,0
-6.75,0.19,0
-12.79,9.73,0
-3.65,2.73,0
-7.76,-1.72,0
-11.65,5.84,0
-8.14,4.08,0
-7.83,6.21,0
-11.68,4.19,0
-6.97,3.67,0
-10.52,3.19,0
-0.72,6.18,0
-12.49,3.2,0
-6.05,5.28,0
-10.49,2.33,0
-5.45,2.34,0
-5.53,4.56,0
-7.86,1.42,0
-4.52,3.38,0
-10.03,1.89,0
-8.62,4.96,0
-4.32,3.88,0
-6.85,2.5,0
-7.6,0.68,0
-10.31,2.37,0
-9.73,8.06,0
-10.99,-0.84,0
-4.52,3.79,0
-7.97,5.08,0
-3.76,3.91,0
-3.36,7.97,0
-7.32,4.75,0
-11.69,7.07,0
-2.49,2.13,0
-9.95,3.85,0
-10.27,3.12,0
-6.38,-1.31,0
-6.16,8.25,0
-9.52,2.49,0
-7.73,2.37,0
-10.23,6.2,0
-11.62,9.7,0
-11.62,0.56,0
-3.68,4.93,0
-6.43,3.39,0
-10.26,0.52,0
-10.28,0.02,0
-11.24,4.4,0
-12.4,4.35,0
-10.34,5.32,0
-8.58,6.71,0
-6.52,2.74,0
-0.91,2.46,0
-4.62,6.78,0
-12.62,8.44,0
-11.63,1.88,0
-2.09,-1.73,0
-8.42,3.43,0
-9.99,4.48,0
-12.48,4.96,0
-7.37,6.49,0
-7.91,8.47,0
-5.02,6.22,0
-9.62,1.68,0
-6.9,5.85,0
-11.17,4.47,0
-12.31,0.76,0
-5.29,8.13,0
-4.73,3.08,0
-10.08,6.41,0
-15.93,-1.38,0
-5.45,0.46,0
-11.81,0.86,0
-14.25,2.26,0
-7.38,1.78,0
-6.94,-0.17,0
-7.94,-0.58,0
-9.81,0.1,0
-11.35,4.54,0
-6.87,7.08,0
-16.28,4.95,0
-9.38,7.06,0
-11.86,5.26,0
-2.56,3.49,0
-8.37,3.09,0
-2.82,2.8,0
-7.36,5.59,0
-7.24,6.2,0
-8.25,2.67,0
-10.25,6.49,0
-5.64,-1.44,0
-2.72,0.02,0
-7.88,7.66,0
-10.63,6.31,0
-1.29,1.07,0
-12.2,8.0,0
-4.98,6.49,0
-8.49,7.79,0
-7.0,-0.54,0
-8.09,3.16,0
-12.84,3.12,0
-9.56,5.23,0
-6.25,4.19,0
-6.87,6.9,0
-8.31,5.81,0
-3.15,4.59,0
-8.59,7.44,0
-4.89,5.63,0
-3.65,0.36,0
-7.45,6.48,0
-9.81,0.79,0
-2.21,6.31,0
-4.55,3.14,0
-9.83,5.02,0
-9.82,3.65,0
-5.88,3.55,0
-7.44,9.23,0
-0.93,4.16,0
-7.25,5.47,0
-4.88,6.81,0
-7.49,4.09,0
-8.81,9.78,0
-8.24,5.99,0
