x0,x1,labels
0.07,1.08,0
0.82,-0.82,0
-0.68,0.98,0
-1.09,-0.26,0
-1.13,-0.18,0
0.4,-0.81,0
-0.61,0.88,0
0.86,-0.07,0
-0.63,-1.16,0
0.53,-0.81,0
0.63,-0.72,0
-0.77,-0.89,0
0.38,-0.92,0
0.86,0.75,0
0.66,0.71,0
0.41,-1.14,0
-0.56,0.91,0
-0.3,0.81,0
-0.1,0.99,0
0.03,0.97,0
-0.67,0.55,0
0.26,-0.41,0
0.83,-0.28,0
0.75,0.63,0
0.64,-1.14,0
-1.08,-0.23,0
1.05,-0.17,0
0.03,-1.15,0
0.68,-0.4,0
-0.05,1.2,0
-0.84,0.74,0
-0.84,1.12,0
-1.09,0.6,0
-0.39,0.74,0
-0.04,-0.87,0
-0.33,-0.86,0
0.54,-1.22,0
0.34,-0.97,0
-0.07,-0.97,0
-0.36,-0.75,0
0.38,-0.81,0
0.12,-0.91,0
0.84,0.56,0
0.37,-1.13,0
-0.68,-1.02,0
-0.59,1.1,0
0.89,-0.16,0
-0.77,0.38,0
-0.89,0.55,0
-0.77,0.13,0
0.4,0.45,0
-0.64,0.77,0
-0.9,-0.22,0
0.19,0.88,0
-1.2,-0.12,0
-0.18,0.82,0
1.03,-0.41,0
0.41,-0.82,0
0.88,-0.13,0
-0.3,0.8,0
-0.63,0.01,0
0.65,0.56,0
0.28,-0.79,0
-0.16,-1.22,0
-0.07,1.14,0
1.06,-0.42,0
0.9,0.66,0
-0.91,0.27,0
0.79,0.59,0
-0.16,1.02,0
-0.6,0.82,0
0.71,0.62,0
-0.56,0.55,0
-0.57,-0.41,0
0.15,-1.07,0
1.16,-0.01,0
0.11,1.23,0
0.83,-0.36,0
-0.21,-0.77,0
0.02,1.11,0
-1.08,0.39,0
0.97,0.19,0
-0.64,-0.66,0
-0.34,0.52,0
0.92,-0.16,0
0.3,0.46,0
0.28,0.69,0
0.81,0.52,0
-0.54,-0.84,0
-0.13,0.63,0
-1.54,-0.18,0
