x0,x1,labels
-1.16,0.45,0
-1.05,-0.32,0
-1.04,0.55,0
-0.97,0.35,0
-0.93,-0.31,0
-0.91,0.36,0
-0.85,0.53,0
-0.81,0.13,0
-0.81,0.44,0
-0.76,0.21,0
-0.75,-0.26,0
-0.74,0.27,0
-0.7,-0.11,0
-0.69,0.61,0
-0.67,-0.56,0
-0.67,0.64,0
-0.65,0.17,0
-0.62,0.89,0
-0.61,-0.08,0
-0.61,0.34,0
-0.6,0.26,0
-0.57,-0.22,0
-0.57,-0.12,0
-0.57,0.19,0
-0.54,0.05,0
-0.51,-0.14,0
-0.51,-0.06,0
-0.5,0.23,0
-0.49,-0.27,0
-0.49,-0.18,0
-0.49,0.27,0
-0.47,0.25,0
-0.46,-0.36,0
-0.46,0.29,0
-0.45,0.34,0
-0.45,0.79,0
-0.44,0.84,0
-0.43,0.08,0
-0.43,0.26,0
-0.43,0.39,0
-0.42,-0.21,0
-0.42,0.42,0
-0.41,0.07,0
-0.41,0.18,0
-0.4,-0.54,0
-0.4,-0.15,0
-0.4,-0.03,0
-0.4,0.64,0
-0.39,-0.46,0
-0.39,-0.07,0
-0.39,0.07,0
-0.39,0.1,0
-0.39,0.29,0
-0.38,-0.39,0
-0.38,-0.21,0
-0.38,0.04,0
-0.38,0.66,0
-0.37,0.12,0
-0.37,0.35,0
-0.37,0.43,0
-0.37,0.95,0
-0.35,-0.07,0
-0.35,0.28,0
-0.35,0.32,0
-0.34,-0.51,0
-0.34,0.14,0
-0.33,0.02,0
-0.32,-0.54,0
-0.32,0.28,0
-0.31,-0.36,0
-0.31,-0.35,0
-0.31,0.67,0
-0.3,-0.13,0
-0.29,-0.47,0
-0.29,-0.33,0
-0.29,-0.05,0
-0.29,0.26,0
-0.29,0.42,0
-0.28,-0.06,0
-0.28,0.83,0
-0.28,0.86,0
-0.27,-0.1,0
-0.25,-0.28,0
-0.25,-0.08,0
-0.25,0.31,0
-0.25,0.44,0
-0.24,0.11,0
-0.24,0.11,0
-0.24,0.84,0
-0.23,-0.61,0
-0.23,-0.38,0
-0.23,-0.16,0
-0.23,0.59,0
-0.22,-0.05,0
-0.22,0.32,0
-0.21,-0.18,0
-0.21,0.59,0
-0.21,0.64,0
-0.21,0.73,0
-0.2,-0.1,0
-0.2,0.22,0
-0.19,0.48,0
-0.18,-0.1,0
-0.18,0.13,0
-0.18,0.41,0
-0.17,0.43,0
-0.17,0.48,0
-0.16,0.01,0
-0.16,0.23,0
-0.15,-0.07,0
-0.15,-0.06,0
-0.15,0.28,0
-0.14,-0.3,0
-0.14,0.6,0
-0.14,0.84,0
-0.13,0.0,0
-0.13,0.41,0
-0.13,0.45,0
-0.12,-0.37,0
-0.12,-0.33,0
-0.12,-0.04,0
-0.12,-0.01,0
-0.12,0.14,0
-0.12,0.41,0
-0.11,-0.15,0
-0.11,0.49,0
-0.1,-0.08,0
-0.1,0.11,0
-0.1,0.11,0
-0.1,0.11,0
-0.1,0.14,0
-0.08,0.08,0
-0.08,0.51,0
-0.07,-0.41,0
-0.07,-0.09,0
-0.07,0.42,0
-0.06,-0.41,0
-0.06,-0.28,0
