x0,x1,labels
-3.15,1.47,1
0.28,-1.05,1
-0.7,0.7,1
1.73,-2.61,1
-3.47,0.01,1
-0.54,3.57,1
-0.67,-2.02,0
-0.77,1.07,1
0.67,2.26,0
0.93,1.02,0
-1.04,-2.65,0
1.96,-0.84,1
1.28,-1.45,1
-3.44,-3.61,0
-0.47,1.61,1
2.31,-2.1,1
1.21,2.96,0
-2.32,-2.96,0
2.44,-3.68,1
-1.11,1.41,1
2.62,-0.51,1
-3.37,-3.25,0
1.54,2.36,0
-1.42,-0.98,0
1.86,-1.79,1
-2.06,-1.83,0
-2.69,-3.62,0
2.69,3.15,0
0.78,-1.16,1
-3.38,-2.61,0
-2.57,-0.66,0
3.15,-1.91,1
1.18,3.16,0
0.58,-3.18,1
0.94,0.99,0
1.58,1.66,0
-1.63,-1.4,0
-1.8,0.53,1
-3.37,-0.42,0
2.59,2.67,0
-0.81,-1.09,0
-2.64,-2.95,0
-2.41,-0.04,0
1.91,-2.88,1
-3.01,-2.54,0
2.0,2.15,0
2.58,1.2,0
3.13,2.54,0
1.19,-2.88,1
-0.23,-2.18,0
0.5,2.07,0
0.4,2.07,0
0.41,-0.16,1
1.66,0.05,0
-3.88,3.37,1
3.91,1.32,0
-0.82,-3.14,0
0.61,1.55,0
2.79,-2.24,1
-1.54,0.67,1
1.0,-1.0,1
3.64,3.44,0
0.74,-1.57,1
-3.66,2.6,1
1.78,1.83,0
3.69,3.58,0
-1.32,-1.58,0
1.6,3.14,0
-2.05,0.54,1
-3.79,0.4,1
3.24,-1.75,1
0.84,-0.53,1
3.58,-2.42,1
0.57,-0.47,1
-3.35,3.06,1
-2.58,3.17,1
-2.22,-1.2,0
-0.8,3.9,1
-3.21,1.95,1
3.75,2.82,0
1.07,-0.02,1
-3.25,-2.97,0
-3.93,-3.52,0
1.66,0.96,0
3.54,3.43,0
-1.18,-1.19,0
-1.58,0.75,1
-1.39,-2.6,0
-3.25,3.44,1
-3.47,2.42,1
-2.04,1.52,1
-2.18,-0.69,0
1.44,2.6,0
